row,experimenter,soil,water,sunlight,n_sprouts_5,max_nodes_5,max_height_5,n_sprouts_7,max_nodes_7,max_height_7,n_sprouts_9,max_nodes_9,max_height_9
1,1,1,1,1,1.00,2.00,6.00,1.00,2.00,6.00,0.00,0.00,0.00
2,1,1,1,2,1.00,2.00,5.00,1.00,2.00,5.00,0.00,0.00,0.00
3,1,1,1,3,1.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1,1,2,1,2.00,2.00,6.00,2.00,2.00,24.00,0.00,0.00,0.00
5,1,1,2,2,3.00,2.00,5.00,3.00,4.00,10.00,3.00,6.00,15.00
6,1,1,2,3,3.00,2.00,4.00,3.00,4.00,12.00,3.00,8.00,20.00
7,1,1,3,1,1.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1,1,3,2,2.00,2.00,5.00,1.00,2.00,12.00,0.00,0.00,0.00
9,1,1,3,3,2.00,2.00,4.00,2.00,4.00,14.00,1.00,8.00,24.00
10,1,2,1,1,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
11,1,2,1,2,1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1,2,1,3,1.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1,2,2,1,3.00,2.00,6.00,3.00,2.00,30.00,0.00,0.00,0.00
14,1,2,2,2,3.00,2.00,5.00,3.00,4.00,12.00,3.00,6.00,19.00
15,1,2,2,3,3.00,2.00,4.00,3.00,4.00,14.00,3.00,8.00,24.00
16,1,2,3,1,2.00,2.00,6.00,2.00,2.00,24.00,0.00,0.00,0.00
17,1,2,3,2,2.00,2.00,5.00,2.00,4.00,14.00,1.00,6.00,23.00
18,1,2,3,3,2.00,2.00,4.00,2.00,4.00,16.00,2.00,8.00,28.00
19,2,1,1,1,1.00,2.00,7.00,1.00,2.00,8.00,0.00,0.00,0.00
20,2,1,1,2,1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
21,2,1,1,3,1.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
22,2,1,2,1,2.00,2.00,7.00,1.00,2.00,26.00,0.00,0.00,0.00
23,2,1,2,2,3.00,2.00,6.00,3.00,2.00,11.00,3.00,4.00,15.00
24,2,1,2,3,3.00,2.00,5.00,3.00,4.00,14.00,3.00,8.00,24.00
25,2,1,3,1,2.00,2.00,7.00,1.00,2.00,26.00,0.00,0.00,0.00
26,2,1,3,2,3.00,2.00,6.00,3.00,4.00,13.00,3.00,6.00,21.00
27,2,1,3,3,3.00,2.00,5.00,3.00,4.00,15.00,3.00,8.00,26.00
28,2,2,1,1,1.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
29,2,2,1,2,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
30,2,2,1,3,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
31,2,2,2,1,2.00,2.00,7.00,2.00,2.00,33.00,0.00,0.00,0.00
32,2,2,2,2,3.00,2.00,6.00,3.00,4.00,12.00,3.00,8.00,17.00
33,2,2,2,3,3.00,2.00,5.00,3.00,4.00,16.00,3.00,8.00,28.00
34,2,2,3,1,2.00,2.00,8.00,1.00,2.00,34.00,0.00,0.00,0.00
35,2,2,3,2,3.00,2.00,6.00,3.00,2.00,14.00,3.00,4.00,20.00
36,2,2,3,3,3.00,2.00,5.00,3.00,4.00,17.00,3.00,8.00,27.00
37,3,1,1,1,1.00,2.00,8.00,1.00,2.00,10.00,0.00,0.00,0.00
38,3,1,1,2,1.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
39,3,1,1,3,1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
40,3,1,2,1,3.00,2.00,8.00,2.00,2.00,34.00,0.00,0.00,0.00
41,3,1,2,2,3.00,2.00,7.00,3.00,4.00,14.00,3.00,6.00,22.00
42,3,1,2,3,3.00,2.00,6.00,3.00,4.00,21.00,3.00,6.00,36.00
43,3,1,3,1,2.00,2.00,8.00,1.00,2.00,34.00,0.00,0.00,0.00
44,3,1,3,2,3.00,2.00,7.00,3.00,4.00,15.00,3.00,8.00,24.00
45,3,1,3,3,3.00,2.00,6.00,3.00,4.00,20.00,2.00,6.00,28.00
46,3,2,1,1,1.00,2.00,8.00,1.00,2.00,9.00,0.00,0.00,0.00
47,3,2,1,2,1.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
48,3,2,1,3,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
49,3,2,2,1,3.00,2.00,9.00,2.00,2.00,46.00,0.00,0.00,0.00
50,3,2,2,2,3.00,2.00,7.00,3.00,4.00,15.00,3.00,8.00,22.00
51,3,2,2,3,3.00,2.00,6.00,3.00,4.00,20.00,3.00,8.00,36.00
52,3,2,3,1,3.00,2.00,8.00,2.00,4.00,34.00,0.00,0.00,0.00
53,3,2,3,2,3.00,2.00,7.00,3.00,4.00,18.00,2.00,6.00,28.00
54,3,2,3,3,3.00,2.00,6.00,3.00,4.00,18.00,2.00,8.00,30.00