Row,experimenter,soil,water,sunlight,n_sprouts_five,avg_nodes_five,avg_height_five,avg_height_to_leaves_five,n_sprouts_seven,avg_nodes_seven,avg_height_seven,avg_height_to_leaves_seven,n_sprouts_nine,avg_nodes_nine,avg_height_nine,avg_height_to_leaves_nine
1,1,1,0,0,1.00,2.00,4.00,4.00,,,,,,,,
2,1,1,0,50,1.00,2.00,4.00,4.00,,,,,,,,
3,1,1,0,100,1.00,2.00,4.00,4.00,,,,,,,,
4,1,1,50,0,2.00,4.00,4.00,4.00,,,,,,,,
5,1,1,50,50,2.00,4.00,4.00,4.00,,,,,,,,
6,1,1,50,100,3.00,6.00,4.00,4.00,,,,,,,,
7,1,1,100,0,2.00,4.00,5.00,5.00,,,,,,,,
8,1,1,100,50,2.00,4.00,5.00,5.00,,,,,,,,
9,1,1,100,100,2.00,4.00,5.00,5.00,,,,,,,,
10,1,2,0,0,1.00,2.00,5.00,5.00,,,,,,,,
11,1,2,0,50,1.00,2.00,5.00,5.00,,,,,,,,
12,1,2,0,100,1.00,2.00,5.00,5.00,,,,,,,,
13,1,2,50,0,3.00,6.00,7.00,7.00,,,,,,,,
14,1,2,50,50,3.00,6.00,6.00,6.00,,,,,,,,
15,1,2,50,100,3.00,6.00,6.00,6.00,,,,,,,,
16,1,2,100,0,2.00,4.00,6.00,6.00,,,,,,,,
17,1,2,100,50,2.00,4.00,6.00,6.00,,,,,,,,
18,1,2,100,100,2.00,4.00,6.00,6.00,,,,,,,,
19,2,1,0,0,2.00,4.00,6.00,6.00,,,,,,,,
20,2,1,0,50,1.00,2.00,6.00,6.00,,,,,,,,
21,2,1,0,100,1.00,2.00,6.00,6.00,,,,,,,,
22,2,1,50,0,3.00,6.00,6.00,6.00,,,,,,,,
23,2,1,50,50,2.00,4.00,6.00,6.00,,,,,,,,
24,2,1,50,100,3.00,6.00,6.00,6.00,,,,,,,,
25,2,1,100,0,3.00,6.00,6.00,6.00,,,,,,,,
26,2,1,100,50,3.00,6.00,7.00,7.00,,,,,,,,
27,2,1,100,100,2.00,4.00,7.00,7.00,,,,,,,,
28,2,2,0,0,1.00,2.00,7.00,7.00,,,,,,,,
29,2,2,0,50,1.00,2.00,7.00,7.00,,,,,,,,
30,2,2,0,100,1.00,2.00,7.00,7.00,,,,,,,,
31,2,2,50,0,3.00,6.00,8.00,8.00,,,,,,,,
32,2,2,50,50,3.00,6.00,8.00,8.00,,,,,,,,
33,2,2,50,100,3.00,6.00,8.00,8.00,,,,,,,,
34,2,2,100,0,2.00,4.00,8.00,8.00,,,,,,,,
35,2,2,100,50,2.00,4.00,8.00,8.00,,,,,,,,
36,2,2,100,100,2.00,4.00,8.00,8.00,,,,,,,,
37,3,1,0,0,0.00,0.00,3.00,3.00,,,,,,,,
38,3,1,0,50,0.00,0.00,3.00,3.00,,,,,,,,
39,3,1,0,100,1.00,2.00,3.00,3.00,,,,,,,,
40,3,1,50,0,2.00,4.00,3.00,3.00,,,,,,,,
41,3,1,50,50,2.00,4.00,3.00,3.00,,,,,,,,
42,3,1,50,100,3.00,6.00,3.00,3.00,,,,,,,,
43,3,1,100,0,1.00,2.00,4.00,4.00,,,,,,,,
44,3,1,100,50,2.00,4.00,4.00,4.00,,,,,,,,
45,3,1,100,100,2.00,4.00,4.00,4.00,,,,,,,,
46,3,2,0,0,1.00,2.00,4.00,4.00,,,,,,,,
47,3,2,0,50,1.00,2.00,4.00,4.00,,,,,,,,
48,3,2,0,100,1.00,2.00,4.00,4.00,,,,,,,,
49,3,2,50,0,2.00,4.00,6.00,6.00,,,,,,,,
50,3,2,50,50,2.00,4.00,6.00,6.00,,,,,,,,
51,3,2,50,100,3.00,6.00,6.00,6.00,,,,,,,,
52,3,2,100,0,2.00,4.00,5.00,5.00,,,,,,,,
53,3,2,100,50,2.00,4.00,5.00,5.00,,,,,,,,
54,3,2,100,100,2.00,4.00,5.00,5.00,,,,,,,,